restaurant_id,name,price,city,region,timing,rating_type,rating,votes,url
553,Candy and Green,1600.0,Mumbai,Breach Candy,"12noon to 12midnight(Mon,Tue,Thu),12noon to ...",Very Good,4.2,1038.0,https://www.zomato.com/mumbai/candy-and-green-breach-candy/info
554,Red Olives,1500.0,Mumbai,Powai,"12noon to 330pm,630pm to 1230AM(Mon-Sun)",Good,3.8,2870.0,https://www.zomato.com/mumbai/red-olives-powai/info
555,Bombay Coffee House,750.0,Mumbai,Linking Road-- Bandra West,9am to 1230AM(Mon-Sun),Good,3.9,2031.0,https://www.zomato.com/mumbai/bombay-coffee-house-linking-road-bandra-west/info
556,Chocolateria San Churro,800.0,Mumbai,Linking Road-- Bandra West,"11am to 2am(Mon),11am to 1am(Tue-Fri),10am to ...",Very Good,4.2,1983.0,https://www.zomato.com/mumbai/chocolateria-san-churro-linking-road-bandra-west/info
557,Rainforest Resto-Bar,1800.0,Mumbai,CBD-Belapur,12noon to 1am(Mon-Sun),Very Good,4.1,1320.0,https://www.zomato.com/mumbai/rainforest-resto-bar-cbd-belapur-navi-mumbai/info
558,Arsalan Shawarma King,350.0,Mumbai,Malad West,5pm to 130am(Mon-Sun),Very Good,4.1,546.0,https://www.zomato.com/mumbai/arsalan-shawarma-king-malad-west/info
559,B Desi,1200.0,Mumbai,Veera Desai Area,1pm to 1am(Mon-Sun),Very Good,4.1,826.0,https://www.zomato.com/mumbai/b-desi-veera-desai-area/info
560,NAME,,CITY,REGION,TIMING,RATING_TYPE,,,URL
561,D' Comfort Gourmet,100.0,Mumbai,New Panvel,1130am to 930pm(Mon-Sun),Good,3.7,77.0,https://www.zomato.com/mumbai/d-comfort-gourmet-1-new-panvel-navi-mumbai/info
562,Swamy - South Indian Food Express,200.0,Mumbai,Upvan-- Thane West,7am to 10pm(Mon-Sun),Very Good,4.0,292.0,https://www.zomato.com/mumbai/swamy-south-indian-food-express-upvan-thane-west-thane/info
563,Biryani By Kilo,700.0,Mumbai,Mahakali,"10am to 1030pm(Mon-Thu),10am to 1130pm(Fri-Sun)",Very Good,4.0,649.0,https://www.zomato.com/mumbai/biryani-by-kilo-mahakali/info
564,Mr Foody,600.0,Mumbai,Borivali East,"1pm to 5pm,630pm to 12midnight(Mon-Sun)",Good,3.8,1136.0,https://www.zomato.com/mumbai/mr-foody-2-borivali-east/info
565,A1 Famous Dum Biryani,700.0,Mumbai,Kharghar,"11am to 4pm,630pm to 1130pm(Mon-Sun)",Average,3.4,462.0,https://www.zomato.com/mumbai/a1-famous-dum-biryani-1-kharghar-navi-mumbai/info
566,Akkad Bakkad Bombay Boom,500.0,Mumbai,Kandivali West,1pm to 12midnight(Mon-Sun),Good,3.5,12.0,https://www.zomato.com/mumbai/akkad-bakkad-bombay-boom-2-kandivali-west/info
567,Munch,600.0,Mumbai,Mahim,"5pm to 11pm(Mon-Tue),1130am to 3pm,5pm to 11pm...",Very Good,4.3,805.0,https://www.zomato.com/mumbai/munch-mahim/info
568,Silly Chilly,400.0,Mumbai,Khopat-- Thane West,12noon to 12midnight(Mon-Sun),Good,3.8,203.0,https://www.zomato.com/mumbai/silly-chilly-1-khopat-thane-west/info
569,House Of Momo,300.0,Mumbai,Naupada-- Thane West,11am to 1030pm(Mon-Sun),Very Good,4.2,251.0,https://www.zomato.com/mumbai/house-of-momo-naupada-thane-west-thane/info
570,Grapeviine,700.0,Mumbai,Lower Parel,11am to 12midnight(Mon-Sun),Good,3.7,983.0,https://www.zomato.com/mumbai/grapeviine-lower-parel/info
